"customer_name","total_purchases","age_customer","age_group"
"Oren","4",24,"Young Adults"
"Pinchas","4",58,"Senior Adults"
"Lauree","4",34,"Young Adults"
"Pen","4",32,"Young Adults"
"Cherish","3",30,"Young Adults"
"Norbert","3",25,"Young Adults"
"Morgen","3",61,"Senior Adults"
"Karee","3",24,"Young Adults"
"Donall","3",28,"Young Adults"
"Dorolisa","3",22,"Teenagers"
"Urban","3",19,"Teenagers"
"Chelsy","3",62,"Senior Adults"
"Ronald","3",36,"Middle-aged Adult"
"Buck","3",48,"Middle-aged Adult"
"Theresita","3",27,"Young Adults"
"Arny","3",52,"Senior Adults"
"Sheila","3",26,"Young Adults"
"Lothario","3",22,"Teenagers"
"Jobi","3",56,"Senior Adults"
"Merola","3",50,"Senior Adults"
"Vernice","3",61,"Senior Adults"
"Win","3",31,"Young Adults"
"Marjory","3",47,"Middle-aged Adult"
"Garnet","3",34,"Young Adults"
"Tedi","3",22,"Teenagers"
"Sophey","3",39,"Middle-aged Adult"
"Henrieta","3",29,"Young Adults"
"Nissie","3",52,"Senior Adults"
"Emmet","3",41,"Middle-aged Adult"
"Fabiano","3",31,"Young Adults"
"Lydon","3",18,"Teenagers"
"Karleen","3",37,"Middle-aged Adult"
"Chrissy","3",45,"Middle-aged Adult"
"Maggy","3",28,"Young Adults"
"Ardenia","3",38,"Middle-aged Adult"
"Giana","3",17,"Teenagers"
"Marcy","3",21,"Teenagers"
"Marlene","3",30,"Young Adults"
"Didi","3",19,"Teenagers"
"Diann","3",22,"Teenagers"
"Chester","3",52,"Senior Adults"
"Celestina","3",51,"Senior Adults"
"Orelie","3",30,"Young Adults"
"Joellyn","3",20,"Teenagers"
"Dyann","3",43,"Middle-aged Adult"
"Eveline","3",41,"Middle-aged Adult"
"Coretta","3",30,"Young Adults"
"Katheryn","3",25,"Young Adults"
"Katusha","3",37,"Middle-aged Adult"
"Magdalen","3",26,"Young Adults"
"Shela","3",27,"Young Adults"
"Frederico","3",30,"Young Adults"
"Leif","3",35,"Middle-aged Adult"
"Eugenius","3",30,"Young Adults"
"Omar","3",13,"Teenagers"
"Myrah","3",13,"Teenagers"
"Emalee","3",44,"Middle-aged Adult"
"Liuka","3",37,"Middle-aged Adult"
"Ban","3",37,"Middle-aged Adult"
"Lindon","2",19,"Teenagers"
"Annabel","2",24,"Young Adults"
"Peirce","2",16,"Teenagers"
"Maybelle","2",23,"Young Adults"
"Herrick","2",21,"Teenagers"
"Frederica","2",34,"Young Adults"
"Weidar","2",55,"Senior Adults"
"Hetty","2",25,"Young Adults"
"Donica","2",36,"Middle-aged Adult"
"Hiromu","2",21,"Teenagers"
"Fay","2",30,"Young Adults"
"Jephthah","2",39,"Middle-aged Adult"
"Leigh","2",20,"Teenagers"
"Genevieve","2",23,"Young Adults"
"Lee","2",38,"Middle-aged Adult"
"Meredith","2",33,"Young Adults"
"Jerrilyn","2",29,"Young Adults"
"Chandra","2",31,"Young Adults"
"Bryana","2",20,"Teenagers"
"Esmaria","2",30,"Young Adults"
"Phedra","2",59,"Senior Adults"
"Howey","2",35,"Middle-aged Adult"
"Gretal","2",17,"Teenagers"
"Keefer","2",21,"Teenagers"
"Carina","2",27,"Young Adults"
"Beaufort","2",31,"Young Adults"
"Robinet","2",18,"Teenagers"
"Hal","2",47,"Middle-aged Adult"
"Callie","2",24,"Young Adults"
"Julissa","2",23,"Young Adults"
"Kriste","2",25,"Young Adults"
"Elise","2",24,"Young Adults"
"Norby","2",33,"Young Adults"
"Timothy","2",26,"Young Adults"
"Demetri","2",28,"Young Adults"
"Carlyn","2",22,"Teenagers"
"Appolonia","2",37,"Middle-aged Adult"
"Trenton","2",24,"Young Adults"
"Cherida","2",42,"Middle-aged Adult"
"Wadsworth","2",37,"Middle-aged Adult"
"Georgi","2",32,"Young Adults"
"Tobye","2",19,"Teenagers"
"Jermaine","2",33,"Young Adults"
"Antonella","2",22,"Teenagers"
"Frank","2",19,"Teenagers"
"Wilbert","2",24,"Young Adults"
"Cherey","2",31,"Young Adults"
"Benyamin","2",23,"Young Adults"
"Dieter","2",15,"Teenagers"
"Gardy","2",32,"Young Adults"
"Nita","2",40,"Middle-aged Adult"
"Daryl","2",24,"Young Adults"
"Devon","2",46,"Middle-aged Adult"
"Franchot","2",49,"Middle-aged Adult"
"Karlie","2",15,"Teenagers"
"Linus","2",38,"Middle-aged Adult"
"Chadd","2",24,"Young Adults"
"Miguelita","2",30,"Young Adults"
"Donelle","2",35,"Middle-aged Adult"
"Dahlia","2",40,"Middle-aged Adult"
"Martha","2",18,"Teenagers"
"Correna","2",36,"Middle-aged Adult"
"Eachelle","2",27,"Young Adults"
"Corrinne","2",43,"Middle-aged Adult"
"Xenos","2",18,"Teenagers"
"Libbi","1",25,"Young Adults"
"Farrand","1",51,"Senior Adults"
"Saree","1",30,"Young Adults"
"Hedvig","1",34,"Young Adults"
"Pryce","1",20,"Teenagers"
"Ferdinande","1",27,"Young Adults"
"Lorilee","1",39,"Middle-aged Adult"
"Jordanna","1",25,"Young Adults"
"Reeva","1",37,"Middle-aged Adult"
"Marcelle","1",16,"Teenagers"
"Addi","1",24,"Young Adults"
"Marcelline","1",40,"Middle-aged Adult"
"Ranique","1",41,"Middle-aged Adult"
"Ailbert","1",25,"Young Adults"
"Morgan","1",24,"Young Adults"
"Pippa","1",16,"Teenagers"
"Sheila-kathryn","1",55,"Senior Adults"
"Homerus","1",28,"Young Adults"
"Doralia","1",25,"Young Adults"
"Lindy","1",28,"Young Adults"
"Dorthy","1",25,"Young Adults"
"Ulric","1",36,"Middle-aged Adult"
"Maisey","1",21,"Teenagers"
"Ameline","1",20,"Teenagers"
"Tootsie","1",28,"Young Adults"
"Wakefield","1",15,"Teenagers"
"Else","1",25,"Young Adults"
"Darsey","1",33,"Young Adults"
"Sayre","1",20,"Teenagers"
"Saundra","1",51,"Senior Adults"
"Jodi","1",29,"Young Adults"
"Kilian","1",52,"Senior Adults"
"Cecilio","1",54,"Senior Adults"
"Savina","1",39,"Middle-aged Adult"
"Ainsley","1",49,"Middle-aged Adult"
"Derk","1",42,"Middle-aged Adult"
"Lyn","1",18,"Teenagers"
"Giffie","1",23,"Young Adults"
"Charlene","1",16,"Teenagers"
"Ward","1",37,"Middle-aged Adult"
"Web","1",23,"Young Adults"
"Daile","1",35,"Middle-aged Adult"
"Colin","1",39,"Middle-aged Adult"
"Florencia","1",19,"Teenagers"
"Rodolph","1",41,"Middle-aged Adult"
"Toby","1",16,"Teenagers"
"Rhodie","1",23,"Young Adults"
"Poul","1",19,"Teenagers"
"Dreddy","1",31,"Young Adults"
"Farr","1",27,"Young Adults"
"Jenna","1",47,"Middle-aged Adult"
"Isabel","1",47,"Middle-aged Adult"
"Hetti","1",33,"Young Adults"
"Dagny","1",19,"Teenagers"
"Alvera","1",59,"Senior Adults"
"Lurleen","1",41,"Middle-aged Adult"
"Lainey","1",20,"Teenagers"
"Virgie","1",63,"Senior Adults"
"Morley","1",39,"Middle-aged Adult"
"Liz","1",16,"Teenagers"
"Donovan","1",37,"Middle-aged Adult"
"Geneva","1",33,"Young Adults"
"Romain","1",41,"Middle-aged Adult"
"Christyna","1",31,"Young Adults"
"Marylee","1",24,"Young Adults"
"Derby","1",24,"Young Adults"
"Lindsey","0",19,"Teenagers"
"Edie","0",23,"Young Adults"
"Lilias","0",38,"Middle-aged Adult"
"Erda","0",41,"Middle-aged Adult"
"Artemas","0",25,"Young Adults"
"Jen","0",38,"Middle-aged Adult"
"Tricia","0",32,"Young Adults"
"Nathanial","0",23,"Young Adults"
"Orton","0",38,"Middle-aged Adult"
"Vinson","0",23,"Young Adults"
"Bria","0",24,"Young Adults"
"Verna","0",23,"Young Adults"
"Madeline","0",18,"Teenagers"
"Anthia","0",28,"Young Adults"
"Samuel","0",18,"Teenagers"
"Jobye","0",22,"Teenagers"
"Heddie","0",24,"Young Adults"
"Adria","0",22,"Teenagers"
"Khalil","0",29,"Young Adults"
"Camille","0",28,"Young Adults"
"Fallon","0",39,"Middle-aged Adult"
"Georgianna","0",48,"Middle-aged Adult"
"Madelin","0",31,"Young Adults"
"Darb","0",21,"Teenagers"
"Maure","0",22,"Teenagers"
"Fredra","0",54,"Senior Adults"
"Eward","0",15,"Teenagers"
"Asher","0",34,"Young Adults"
"Merissa","0",28,"Young Adults"
"Tabb","0",20,"Teenagers"
"Fanchette","0",30,"Young Adults"
"Humbert","0",16,"Teenagers"
"Mio","0",22,"Teenagers"
"Morten","0",35,"Middle-aged Adult"
"Bryant","0",32,"Young Adults"
"Corey","0",20,"Teenagers"
"Valerye","0",29,"Young Adults"
"Lurline","0",26,"Young Adults"
"Terrance","0",19,"Teenagers"
"Faina","0",30,"Young Adults"
"Granger","0",25,"Young Adults"
"Sandy","0",20,"Teenagers"
